TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID,Cluster
4885,231081.615,455226.169,0.848,3.0,0.181,0.7,0.6,0.8,0.3,0.7,23880,5
3937,231027.509,455324.336,0.888,3.0,0.206,0.7,0.7,0.6,0.3,0.3,19026,5
4839,231082.762,455226.206,0.904,3.0,0.227,0.6,0.6,0.7,0.3,0.5,24004,5
4844,231084.281,455208.836,0.882,3.0,0.3,1.1,1.1,1.4,0.9,1.0,23648,5
3918,231012.781,455300.325,0.824,3.0,0.395,2.2,2.2,2.4,3.6,4.6,19106,5
6036,231188.905,455304.006,1.223,3.0,0.593,1.8,1.9,2.3,2.6,4.1,30745,5
4758,231065.802,455265.093,0.333,3.1,0.055,2.4,3.1,2.5,4.6,5.2,23460,5
4932,231096.126,455194.277,0.935,3.1,0.065,0.9,0.7,1.3,0.6,0.8,24302,5
4954,231134.001,455365.735,0.397,3.1,0.073,2.2,3.5,2.3,3.9,4.7,24440,5
4878,231098.33,455199.303,0.938,3.1,0.079,1.0,0.9,1.3,0.7,1.0,24329,5
4851,231094.243,455209.36,1.02,3.1,0.091,2.1,1.8,2.6,3.4,6.4,24331,5
5162,231087.972,455308.225,0.516,3.1,0.098,1.3,1.3,1.7,1.4,2.8,25297,5
5970,231187.692,455303.362,1.104,3.1,0.107,1.2,1.2,1.3,1.2,1.8,30464,5
3947,231036.58,455319.417,0.543,3.1,0.127,2.0,2.4,1.9,3.1,4.8,19050,5
3944,231025.496,455331.349,1.071,3.1,0.149,1.1,1.4,1.1,0.9,1.3,19210,5
5982,231181.45,455347.658,0.902,3.1,0.155,1.1,1.2,1.1,0.9,1.6,30456,5
5034,231103.289,455344.922,0.912,3.1,0.159,1.0,1.5,1.0,0.8,1.2,24743,5
4998,231095.098,455341.207,1.05,3.1,0.168,0.8,0.8,1.0,0.5,0.7,24689,5
6048,231186.583,455303.871,0.956,3.1,0.182,1.1,1.3,1.2,0.9,1.3,30727,5
6042,231172.015,455326.28,1.176,3.1,0.253,0.9,1.0,1.0,0.6,1.1,30717,5
6013,231174.241,455294.063,1.079,3.1,0.257,1.0,0.8,1.3,0.8,1.1,30694,5
6018,231186.992,455301.473,0.754,3.1,0.289,1.7,2.2,1.9,2.3,2.4,30559,5
4904,231085.005,455235.926,1.006,3.1,0.299,0.9,0.9,1.0,0.6,1.1,24071,5
5159,231054.521,455328.759,1.138,3.1,0.324,1.1,1.6,0.8,0.9,1.5,25312,5
6022,231162.411,455367.312,0.791,3.1,0.405,3.2,4.0,3.6,8.1,12.3,30697,5
3862,231026.791,455321.046,0.937,3.1,0.517,1.2,1.4,1.1,1.1,1.5,19093,5
4924,231078.175,455227.399,0.879,3.1,0.521,1.2,1.2,1.4,1.1,1.8,24270,5
3843,231041.096,455318.744,0.873,3.1,0.637,1.7,2.0,2.2,2.4,4.4,19000,5
6011,231148.555,455333.872,0.764,3.1,0.639,2.1,3.2,2.0,3.5,4.2,30735,5
5053,231048.299,455318.656,0.92,3.1,0.659,3.2,2.9,4.1,8.0,9.5,25444,5
4907,231077.602,455256.418,1.33,3.2,0.043,2.9,2.6,3.8,6.7,11.1,23889,5
5957,231167.512,455317.841,1.354,3.2,0.058,4.5,4.3,5.8,16.0,19.8,30126,5
3957,230997.986,455314.788,0.614,3.2,0.077,5.4,4.4,8.2,23.1,27.3,19176,5
6032,231148.697,455351.204,1.02,3.2,0.083,1.2,1.2,1.1,1.1,1.9,30710,5
4779,231129.064,455267.021,1.164,3.2,0.091,2.5,3.1,2.6,4.8,8.7,23832,5
5125,231135.311,455327.498,0.949,3.2,0.156,1.0,1.1,1.0,0.8,1.3,25089,5
5898,231180.548,455260.971,1.148,3.2,0.171,1.1,1.2,1.1,0.9,1.3,29829,5
4808,231094.056,455209.445,0.47,3.2,0.228,1.6,1.3,2.3,1.9,2.6,23581,5
5161,231050.116,455324.296,1.302,3.2,0.502,1.8,1.8,1.7,2.5,4.4,25514,5
3779,231032.208,455318.557,1.018,3.2,0.623,1.8,2.3,1.7,2.5,5.1,19042,5
4743,231067.826,455209.381,0.432,3.2,0.746,4.0,4.7,4.3,12.8,18.7,23820,5
5936,231156.137,455360.462,0.68,3.3,0.061,3.9,5.1,3.9,11.9,12.9,30035,5
5778,231171.354,455185.034,0.458,3.3,0.094,1.5,1.5,1.5,1.7,2.3,29035,5
4875,231098.944,455196.707,0.888,3.3,0.096,0.6,0.6,0.8,0.3,0.4,23848,5
5129,231099.971,455355.194,0.341,3.3,0.098,2.9,4.0,3.7,6.5,8.6,25209,5
3950,231033.966,455318.967,0.839,3.3,0.107,1.9,2.2,1.9,2.8,4.0,19211,5
5098,231124.109,455338.299,1.221,3.3,0.11,1.3,1.4,1.4,1.3,1.9,25194,5
4821,231112.687,455209.14,0.828,3.3,0.123,0.8,0.8,1.0,0.5,0.8,23829,5
4842,231132.588,455201.419,0.802,3.3,0.124,0.9,0.8,1.2,0.6,1.1,23687,5
4915,231106.821,455224.524,0.46,3.3,0.129,1.8,2.6,2.2,2.5,3.6,24011,5
5003,231082.283,455308.089,0.884,3.3,0.131,1.7,2.1,1.5,2.2,4.5,25286,5
5987,231180.144,455319.598,0.812,3.3,0.183,0.6,0.7,0.5,0.3,0.4,30485,5
5940,231171.946,455332.597,0.729,3.3,0.219,1.1,2.6,0.6,0.9,1.2,30211,5
5897,231184.992,455254.112,1.026,3.3,0.321,1.4,1.7,1.4,1.5,2.2,29684,5
4866,231068.145,455284.069,1.152,3.3,0.335,2.8,3.5,2.9,6.0,14.0,24339,5
5996,231170.53,455345.872,0.874,3.3,0.357,2.2,1.9,3.3,3.8,9.3,30647,5
5094,231055.424,455337.143,0.976,3.3,0.36,1.7,2.6,1.3,2.2,3.8,25095,5
4724,231054.669,455180.829,0.771,3.3,0.44,1.2,1.2,1.4,1.1,2.6,23421,5
6020,231176.341,455321.445,1.223,3.3,0.454,1.4,1.9,1.1,1.6,2.6,30750,5
6034,231175.053,455320.844,0.976,3.3,0.601,1.9,2.1,2.0,2.9,5.2,30748,5
5168,231066.612,455291.52,0.966,3.3,0.73,3.1,2.8,4.0,7.5,16.0,25511,5
4887,231123.486,455263.274,0.489,3.3,3.303,5.6,7.9,4.5,24.6,26.3,23789,5
5771,231185.501,455163.504,0.428,3.4,0.063,1.4,1.1,1.9,1.4,3.2,29132,5
5977,231185.426,455354.594,0.353,3.4,0.068,0.7,1.2,1.2,0.4,0.3,30377,5
4793,231071.946,455225.482,0.541,3.4,0.193,1.6,1.9,1.5,2.0,4.4,24346,5
4858,231081.702,455229.684,0.866,3.4,0.244,0.8,0.9,0.8,0.5,0.8,23813,5
5980,231178.493,455327.028,1.231,3.4,0.352,1.9,1.8,2.2,2.7,5.6,30478,5
4792,231075.711,455208.226,0.704,3.4,0.393,1.3,1.7,1.0,1.4,2.7,23615,5
5202,231076.046,455325.109,0.915,3.4,0.486,1.2,1.4,1.3,1.1,2.7,25463,5
5092,231136.127,455350.625,0.809,3.4,0.529,1.7,1.9,1.9,2.3,4.1,24768,5
5139,231054.291,455338.17,1.055,3.4,0.694,2.1,2.3,2.1,3.5,8.0,25210,5
4797,231069.138,455213.463,0.827,3.4,0.771,3.0,4.0,2.6,7.0,14.4,23451,5
6006,231163.749,455323.274,0.856,3.4,0.861,1.7,1.3,2.3,2.2,4.7,30680,5
5989,231161.318,455369.194,0.874,3.4,0.91,2.2,2.4,2.2,3.8,8.3,30619,5
3925,231016.426,455305.59,1.278,3.5,0.071,3.2,3.7,3.9,7.9,13.8,19268,5
4945,231073.874,455218.126,0.47,3.5,0.079,2.3,2.3,2.5,4.1,9.2,24195,5
4800,231070.619,455206.173,0.388,3.5,0.097,2.3,2.4,2.4,4.1,8.0,23453,5
6026,231180.061,455318.817,1.116,3.5,0.1,1.2,1.5,1.1,1.2,2.2,30740,5
5036,231061.908,455290.498,0.464,3.5,0.114,3.0,4.4,2.8,7.2,14.8,25041,5
4753,231074.479,455217.261,0.411,3.5,0.123,2.4,2.0,3.5,4.5,6.5,23912,5
4765,231070.64,455176.084,1.064,3.5,0.132,1.0,1.3,0.9,0.8,1.1,23356,5
5985,231173.361,455338.014,0.474,3.5,0.134,3.2,3.2,4.1,7.8,8.4,30321,5
3774,231040.584,455244.576,0.466,3.5,0.145,2.6,2.9,2.4,5.2,9.1,18536,5
6000,231165.361,455308.856,0.942,3.5,0.18,4.1,4.7,4.7,13.3,23.0,30707,5
4950,231076.521,455233.107,0.871,3.5,0.201,1.2,1.1,1.5,1.1,2.5,24371,5
5019,231076.299,455326.049,0.956,3.5,0.208,0.9,1.0,1.2,0.7,1.3,24733,5
4722,231097.659,455198.443,0.838,3.5,0.244,1.9,2.1,2.0,2.7,7.7,23458,5
4884,231092.44,455211.766,0.952,3.5,0.246,2.2,2.5,2.9,3.9,4.3,24037,5
5981,231172.899,455328.871,1.041,3.5,0.265,2.8,4.0,3.2,6.2,8.0,30498,5
4653,231093.412,455187.172,0.83,3.5,0.356,1.6,1.6,1.9,1.9,2.9,23425,5
4766,231077.268,455216.388,0.852,3.5,0.413,2.6,4.0,2.0,5.3,8.2,23633,5
5968,231178.868,455317.845,0.811,3.5,0.44,2.2,2.4,2.7,3.7,5.8,30135,5
3883,231022.958,455331.597,1.088,3.5,0.463,1.7,2.2,1.6,2.2,3.8,19255,5
4755,231098.195,455170.324,0.936,3.5,0.465,1.4,1.6,1.5,1.5,2.7,23320,5
5954,231162.637,455348.471,0.811,3.5,0.479,1.9,1.9,2.3,2.8,4.4,30038,5
3916,231044.941,455317.268,0.818,3.5,0.484,1.2,1.2,1.3,1.1,2.9,19249,5
5788,231168.241,455174.843,0.467,3.6,0.085,2.1,1.6,3.1,3.6,8.6,29215,5
5753,231172.865,455184.211,0.91,3.6,0.091,0.9,0.9,0.9,0.6,1.1,29205,5
5023,231092.285,455342.519,0.39,3.6,0.097,3.0,3.6,3.6,7.2,12.1,25320,5
3787,231040.024,455262.845,0.608,3.6,0.15,2.4,2.5,3.8,4.7,6.0,18544,5
5037,231136.775,455329.594,0.813,3.6,0.153,1.6,1.6,1.9,2.0,3.6,24729,5
5907,231182.422,455203.354,0.379,3.6,0.166,2.0,1.7,2.6,3.1,5.7,29770,5
5751,231169.395,455170.881,0.782,3.6,0.167,1.2,1.1,1.6,1.1,2.0,29006,5
4868,231085.482,455192.869,0.474,3.6,0.186,2.4,2.6,3.2,4.7,8.3,24309,5
5026,231123.876,455339.341,0.85,3.6,0.189,2.3,3.1,1.7,4.2,5.9,25036,5
5220,231123.633,455337.144,0.878,3.6,0.26,1.8,1.8,2.0,2.5,3.6,25135,5
4829,231092.929,455208.438,1.25,3.6,0.272,2.1,2.0,2.4,3.3,7.3,23971,5
3970,231009.839,455318.672,0.553,3.6,0.276,3.7,3.7,4.7,10.9,18.1,19243,5
5986,231148.79,455371.968,0.484,3.6,0.4,1.0,0.8,1.4,0.7,1.4,30512,5
4790,231084.464,455183.24,1.255,3.6,0.441,2.2,2.2,2.7,3.9,4.9,23444,5
5979,231151.284,455333.519,0.756,3.6,0.503,2.6,3.0,2.3,5.2,7.6,30530,5
5212,231115.607,455339.692,0.671,3.6,0.519,3.7,3.8,4.6,10.7,24.9,25515,5
5114,231127.165,455334.9,0.968,3.6,0.718,2.5,1.9,3.8,4.8,7.4,25120,5
5971,231157.209,455331.802,0.928,3.6,1.511,4.4,4.8,5.2,14.9,25.6,30447,5
4859,231145.832,455261.663,0.84,3.7,0.106,1.9,1.8,2.3,2.7,5.5,24135,5
3776,231037.333,455261.618,1.308,3.7,0.122,2.5,3.1,2.5,5.0,12.3,18626,5
5733,231193.902,455170.087,0.727,3.7,0.154,1.0,0.8,1.6,0.7,0.8,29113,5
4763,231108.374,455218.67,0.839,3.7,0.154,1.3,1.4,1.8,1.3,1.5,24075,5
4973,231075.82,455326.783,0.889,3.7,0.163,0.7,0.7,0.7,0.4,0.7,24950,5
3830,231036.138,455258.662,1.098,3.7,0.225,1.8,1.8,2.0,2.4,5.2,18689,5
5142,231112.659,455355.818,0.924,3.7,0.232,1.7,1.5,2.5,2.4,3.4,25211,5
5928,231171.573,455317.523,0.873,3.7,0.379,4.4,4.8,4.8,15.5,19.5,29989,5
3699,231032.474,455264.733,0.834,3.7,0.471,2.3,2.7,2.6,4.1,9.6,18581,5
4968,231085.251,455308.31,0.863,3.8,0.072,1.4,1.7,1.6,1.5,2.3,24610,5
6001,231162.642,455366.091,0.786,3.8,0.074,1.7,2.5,1.5,2.3,4.1,30633,5
5118,231097.59,455355.142,0.347,3.8,0.089,2.7,3.2,2.5,5.8,7.8,25270,5
4894,231093.165,455191.259,0.928,3.8,0.104,1.3,1.2,1.6,1.2,1.9,24070,5
5741,231171.829,455172.044,0.507,3.8,0.174,1.6,1.6,1.9,2.0,4.6,28936,5
6004,231149.871,455360.138,0.83,3.8,0.351,2.3,2.3,2.6,4.0,5.1,30510,5
4991,231117.415,455351.714,0.918,3.8,0.721,4.7,5.9,4.6,17.2,27.1,24662,5
4942,231134.757,455247.126,1.148,3.8,0.875,1.7,2.3,1.6,2.4,4.2,24360,5
5056,231137.741,455320.505,0.902,3.9,0.075,1.7,1.8,1.7,2.3,4.5,25083,5
5280,231090.707,455338.778,0.35,3.9,0.077,1.9,2.0,2.4,2.7,3.9,25349,5
5158,231130.111,455338.342,0.492,3.9,0.205,1.7,1.8,2.1,2.2,3.3,25482,5
5919,231187.165,455345.158,0.786,3.9,0.607,1.6,1.6,1.8,1.9,3.7,30052,5
3872,231021.921,455320.475,0.832,3.9,0.642,1.3,1.5,1.2,1.4,3.2,19120,5
5222,231137.484,455341.252,1.343,3.9,0.649,2.4,2.7,2.4,4.7,7.8,25517,5
5103,231126.519,455339.883,1.299,4.0,0.065,1.8,2.1,1.6,2.6,5.3,25500,5
3837,231014.358,455239.951,0.411,4.0,0.178,1.8,2.0,2.0,2.5,5.0,18665,5
3856,231026.573,455324.311,0.911,4.0,0.226,0.9,1.0,0.9,0.7,1.1,18903,5
5154,231120.929,455352.824,0.512,4.0,0.282,1.9,2.3,1.7,2.7,4.9,25318,5
5781,231186.167,455175.485,0.534,4.0,0.305,3.0,2.9,3.7,7.3,11.7,29204,5
5997,231183.629,455316.363,1.082,4.0,0.331,1.7,1.3,2.6,2.3,4.6,30661,5
4683,231070.801,455218.969,0.89,4.0,0.403,1.8,1.9,2.1,2.4,4.5,23556,5
3896,231037.934,455321.264,1.217,4.0,0.413,2.6,3.0,2.5,5.3,11.6,19212,5
5865,231165.875,455233.888,0.864,4.0,0.499,2.0,3.0,2.0,3.3,4.0,29362,5
4709,231075.262,455209.7,0.669,4.1,0.121,2.1,2.2,2.0,3.6,5.3,23570,5
4920,231081.732,455227.084,0.895,4.1,0.211,1.2,1.6,1.1,1.1,2.0,24154,5
6028,231171.015,455326.162,0.934,4.1,0.933,3.0,2.3,3.7,7.3,13.7,30658,5
5918,231156.42,455202.978,1.359,4.2,0.103,2.0,2.3,2.2,3.1,5.1,29956,5
5260,231049.901,455327.369,0.849,4.2,0.18,2.4,2.9,2.2,4.4,11.6,25326,5
5105,231055.69,455328.253,0.905,4.2,0.299,1.2,1.9,0.9,1.1,1.7,25073,5
4846,231070.183,455220.484,1.147,4.2,0.557,3.3,3.4,5.2,8.6,14.0,24227,5
4807,231082.82,455256.614,0.344,4.3,0.051,2.4,2.0,3.8,4.3,13.3,23479,5
4940,231067.794,455221.677,0.719,4.3,0.127,2.2,2.5,2.2,3.9,9.1,24337,5
85,230298.578,454384.63,1.356,3.0,0.057,1.7,2.0,1.5,2.2,3.9,626,6
510,230404.111,454367.548,1.172,3.0,0.162,1.6,1.4,1.8,2.0,3.9,2677,6
118,230293.189,454423.403,1.147,3.0,0.265,3.7,3.5,3.9,10.8,17.5,689,6
505,230359.781,454446.752,0.892,3.0,1.863,2.1,2.3,2.6,3.5,5.1,2983,6
119,230339.61,454375.953,0.924,3.1,0.145,0.6,0.6,0.9,0.3,0.5,325,6
86,230302.69,454380.422,1.197,3.1,0.275,4.0,5.0,4.1,12.5,14.7,349,6
19,230330.13,454344.917,1.163,3.1,0.315,4.2,6.1,3.1,14.0,27.1,38,6
54,230291.521,454316.671,0.78,3.1,0.402,1.8,3.0,2.0,2.4,2.8,283,6
418,230367.181,454313.758,0.469,3.1,0.772,0.8,0.7,1.1,0.6,0.7,2144,6
437,230392.678,454367.497,1.233,3.1,0.89,1.1,1.3,1.1,0.9,1.2,2433,6
468,230388.594,454368.491,0.894,3.1,2.856,5.0,7.8,4.7,19.5,33.7,2365,6
515,230427.619,454405.187,1.124,3.2,0.235,0.8,0.8,1.5,0.5,0.6,3052,6
128,230304.287,454395.228,1.34,3.2,0.258,5.5,5.6,6.1,23.7,30.2,718,6
360,230341.962,454373.855,0.852,3.2,1.488,5.1,7.7,3.7,20.7,27.5,2298,6
103,230292.529,454372.96,0.793,3.3,0.605,1.8,1.9,1.8,2.5,5.5,309,6
51,230303.39,454318.89,1.237,3.3,0.687,2.8,3.0,2.9,6.1,16.3,229,6
66,230303.293,454285.329,1.132,3.3,1.561,5.4,6.3,4.6,22.8,27.8,278,6
74,230325.644,454345.596,1.136,3.4,0.754,2.3,2.6,2.2,4.2,9.4,314,6
71,230306.678,454361.752,1.166,3.4,2.075,2.3,2.5,2.4,4.2,8.7,313,6
107,230305.584,454383.078,0.382,3.5,0.227,4.3,4.5,5.1,14.8,29.6,673,6
76,230290.805,454316.761,1.206,3.5,0.31,4.5,5.8,5.0,15.7,25.2,306,6
425,230403.161,454367.019,0.929,3.5,0.782,2.4,3.1,2.3,4.6,10.2,2415,6
73,230308.021,454374.629,0.957,3.5,1.734,3.3,4.3,3.6,8.4,18.8,268,6
57,230303.226,454317.684,0.838,3.6,0.432,1.8,2.1,1.8,2.6,6.1,273,6
478,230341.093,454374.821,0.456,3.6,0.496,4.1,3.8,5.7,13.2,22.9,2376,6
134,230309.711,454366.667,1.103,3.6,0.772,2.7,4.0,1.8,5.7,5.1,690,6
117,230303.279,454397.221,1.303,3.7,0.054,1.8,2.2,1.6,2.6,6.4,734,6
46,230311.243,454366.881,1.229,3.8,0.359,1.7,1.6,2.3,2.2,4.6,152,6
487,230405.841,454448.257,0.583,3.8,0.728,1.8,2.0,2.2,2.5,4.4,2727,6
405,230369.299,454320.612,0.939,3.8,1.145,3.5,3.4,4.0,9.5,22.7,2316,6
419,230370.768,454312.771,0.456,3.9,0.055,3.2,4.2,3.2,8.2,15.3,2097,6
90,230303.524,454394.23,0.991,3.9,0.301,5.7,6.1,6.2,25.6,48.4,726,6
522,230402.212,454446.619,0.85,4.0,0.29,1.7,2.2,1.7,2.2,2.2,2660,6
50,230311.506,454364.676,0.98,4.0,0.458,1.7,2.2,1.7,2.3,4.0,148,6
67,230310.655,454366.67,1.276,4.0,0.81,1.4,1.9,1.4,1.6,3.5,323,6
68,230302.033,454381.568,1.294,4.1,0.174,3.3,2.9,4.6,8.6,16.3,341,6
58,230292.344,454307.877,0.369,4.1,0.202,7.0,7.6,9.7,38.2,48.5,324,6
65,230304.176,454356.595,0.887,4.1,0.265,1.9,2.2,1.8,2.7,5.6,280,6
24,230314.594,454370.134,1.247,4.1,0.275,2.1,2.0,2.5,3.6,9.2,136,6
143,230297.496,454394.421,0.953,4.1,0.855,4.9,4.7,6.4,18.8,48.3,503,6
61,230301.208,454356.866,0.888,4.1,1.279,2.5,2.6,2.5,5.1,14.6,307,6
427,230419.119,454359.939,1.308,4.2,0.099,3.7,3.8,4.1,10.7,18.7,2421,6
45,230311.163,454368.409,0.838,4.2,0.521,1.3,1.1,1.6,1.3,2.5,177,6
81,230323.677,454346.376,1.149,4.3,0.333,1.9,1.5,2.6,2.8,6.5,315,6
99,230303.464,454358.357,1.323,4.3,0.405,3.5,3.6,4.5,9.6,14.1,320,6
60,230297.546,454370.184,1.117,4.4,0.187,2.2,2.7,2.0,4.0,9.5,294,6
513,230357.111,454441.862,0.529,4.4,0.213,2.4,2.7,2.5,4.5,12.5,3051,6
109,230312.487,454363.715,1.008,4.4,0.949,2.2,2.9,2.3,3.9,9.6,322,6
23,230325.646,454344.401,0.966,4.4,1.242,3.9,4.5,4.1,11.8,24.3,50,6
324,230370.269,454314.907,1.338,4.5,0.158,5.7,5.6,6.7,25.9,58.9,2001,6
55,230323.622,454345.511,1.235,4.5,0.181,2.3,2.5,2.9,4.3,12.0,191,6
403,230367.773,454313.827,1.187,4.5,0.323,1.8,1.7,1.7,2.4,5.3,2388,6
69,230296.199,454371.331,0.4,4.5,0.785,3.5,4.6,3.0,9.8,26.8,173,6
95,230294.574,454419.599,1.324,4.6,0.086,1.9,2.3,1.9,2.7,6.4,721,6
80,230294.863,454392.035,1.21,4.6,0.112,3.3,4.4,3.1,8.3,20.9,588,6
64,230311.985,454365.415,1.099,4.6,0.71,2.1,1.9,2.9,3.4,6.1,293,6
72,230315.499,454369.74,1.092,4.6,1.826,3.2,2.8,3.9,7.9,15.4,297,6
41,230310.184,454367.532,0.813,4.7,0.573,2.3,2.6,2.3,4.3,12.6,179,6
415,230418.002,454362.275,0.58,4.8,0.098,2.0,1.8,2.3,3.0,5.4,2373,6
34,230286.956,454290.072,0.349,4.8,0.142,11.1,15.4,14.7,96.8,226.4,251,6
503,230415.816,454444.818,1.209,4.8,0.334,2.1,2.5,2.2,3.3,7.4,3039,6
509,230403.071,454446.807,0.994,4.9,0.169,1.4,1.6,1.6,1.6,3.5,3009,6
519,230358.249,454442.5,1.305,4.9,0.23,2.4,2.4,2.8,4.5,11.6,3012,6
485,230403.203,454447.237,0.762,4.9,0.401,1.3,1.4,1.6,1.3,2.6,2623,6
3564,231013.401,454471.944,0.372,3.0,0.103,4.7,4.0,5.3,17.0,19.6,17170,7
4644,231084.974,454560.478,0.847,3.0,0.331,0.9,1.0,1.0,0.7,0.9,22899,7
3675,230993.233,454519.779,1.196,3.0,0.617,1.0,1.1,0.9,0.8,1.1,18079,7
5664,231204.902,454455.643,0.807,3.1,0.321,0.4,0.2,0.7,0.1,0.2,28262,7
3712,230979.034,454588.998,0.827,3.1,0.553,1.9,2.1,2.6,2.9,5.3,18260,7
4698,231111.952,454516.399,0.435,3.2,0.107,2.2,2.5,2.4,3.8,5.3,22977,7
3339,231016.104,454477.006,0.425,3.2,0.12,2.6,3.1,2.9,5.2,6.7,16639,7
3643,231014.392,454482.352,0.568,3.3,0.499,2.6,2.7,2.2,5.2,7.3,18002,7
3761,231032.652,454597.792,1.107,3.3,0.61,2.1,2.2,2.5,3.4,4.4,18440,7
4645,231074.797,454507.946,0.789,3.3,0.771,3.6,3.7,4.1,10.1,10.7,22821,7
4687,231122.854,454553.861,1.041,3.3,0.776,2.6,2.5,3.0,5.4,13.9,22593,7
4589,231096.842,454527.434,0.748,3.5,0.75,1.8,1.7,2.2,2.6,5.0,23008,7
3720,231007.298,454498.17,1.168,3.6,0.82,2.5,3.3,2.2,4.8,7.6,18034,7
4650,231099.125,454528.836,0.975,3.7,0.217,1.7,2.0,1.4,2.1,4.2,22806,7
3710,230994.617,454555.931,0.714,3.7,1.474,4.3,4.0,6.4,14.4,19.2,17993,7
4612,231096.283,454548.462,0.921,3.8,0.624,1.7,2.3,1.3,2.3,4.3,22913,7
4313,231131.761,454449.092,0.965,3.9,0.422,5.6,7.7,7.0,24.3,36.9,21862,7
4606,231078.905,454492.719,0.799,3.9,0.521,2.0,2.3,2.3,3.0,4.2,22941,7
3705,230980.14,454591.657,0.816,3.9,1.335,2.8,2.8,3.4,6.0,9.8,18221,7
3778,230981.975,454591.506,1.333,4.0,0.399,1.8,1.8,2.3,2.4,5.6,18476,7
4635,231079.682,454494.993,0.943,4.1,0.289,1.8,1.7,2.3,2.6,3.7,22740,7
3612,231005.155,454498.909,0.393,4.1,0.342,3.1,3.1,3.6,7.3,12.4,17568,7
3751,230981.19,454590.537,0.939,4.2,0.218,1.5,1.5,1.6,1.7,4.1,18377,7
4674,231124.067,454551.512,1.311,4.4,0.275,2.9,2.0,4.4,6.5,10.9,23012,7
5659,231175.233,454436.646,0.714,4.6,0.425,1.7,1.8,1.9,2.4,5.1,28444,7
4625,231139.22,454523.521,0.854,4.7,0.147,2.4,2.3,2.6,4.4,10.8,22680,7
4671,231100.547,454528.422,0.564,4.8,0.349,4.0,5.1,3.8,12.6,23.9,22992,7
3663,231005.99,454494.586,0.362,4.9,0.578,3.0,3.6,3.8,7.2,8.3,18113,7
5804,231166.714,454588.867,0.37,5.0,0.051,3.4,4.9,2.8,9.1,15.8,28928,7
3571,231010.567,454477.792,0.989,5.0,0.401,2.3,3.1,1.9,4.3,7.5,17093,7
3747,231010.223,454542.141,1.145,5.0,0.446,5.4,6.6,4.7,22.9,56.4,18100,7
4708,231065.765,454559.306,0.371,5.1,0.228,3.6,3.4,4.4,9.9,18.3,22981,7
4660,231140.157,454518.946,0.314,5.3,0.067,2.9,2.6,3.8,6.4,11.8,22850,7
4727,231144.425,454519.824,0.454,5.3,2.591,5.8,10.7,4.6,26.7,37.2,23006,7
5756,231205.907,454543.734,0.723,5.4,0.238,0.3,0.2,0.6,0.1,0.1,28696,7
5758,231151.453,454582.292,0.898,5.6,0.375,2.9,3.1,3.4,6.5,20.3,28927,7
4684,231093.36,454548.914,1.225,5.7,1.284,2.1,1.8,2.7,3.4,7.0,23018,7
4599,231093.578,454547.691,1.329,5.9,0.087,2.2,2.3,2.5,3.7,7.9,23022,7
4530,231095.431,454548.989,0.81,5.9,0.682,3.5,3.3,4.4,9.4,20.5,22315,7
4583,231054.527,454533.779,1.374,6.0,0.05,2.0,2.0,2.2,3.1,6.9,23005,7
4695,231094.663,454546.206,1.313,6.4,0.286,2.9,3.4,3.0,6.6,18.4,23001,7
4573,231066.121,454499.945,0.346,6.5,0.145,4.1,4.4,5.7,13.3,32.9,22970,7
4540,231125.923,454501.011,0.854,6.6,0.589,3.3,3.4,4.0,8.5,12.2,22322,7
5588,231184.135,454465.805,0.886,6.9,0.149,3.3,3.2,3.7,8.8,27.7,28223,7
3698,231025.303,454533.75,1.277,6.9,0.267,4.2,5.5,4.2,13.9,37.0,18023,7
4685,231124.535,454559.415,0.838,7.0,0.623,2.9,4.0,2.6,6.7,16.0,22956,7
4641,231120.918,454563.072,0.396,7.2,0.129,7.3,9.9,6.1,41.9,61.7,22881,7
5568,231179.639,454436.776,0.888,7.4,0.206,4.6,6.5,4.1,16.6,67.3,28176,7
3702,231022.765,454535.123,0.326,7.7,0.186,3.0,3.8,2.7,6.9,17.2,18108,7
4586,231085.906,454558.738,0.92,7.7,0.408,3.1,3.4,3.4,7.7,18.1,22903,7
4664,231064.734,454515.365,0.345,8.0,0.132,3.6,3.7,3.9,9.9,32.7,23000,7
4651,231076.807,454549.812,0.578,8.1,0.402,3.4,3.2,4.1,9.3,37.1,22911,7
4485,231132.31,454470.594,0.649,8.2,0.217,4.7,5.8,5.0,17.2,50.8,22225,7
4647,231121.236,454579.099,0.381,8.3,0.104,5.9,5.7,6.7,27.4,124.9,22513,7
5794,231146.468,454583.556,0.351,8.4,0.114,6.5,7.2,8.5,33.0,75.1,28924,7
3721,231025.859,454534.993,1.139,8.4,0.129,3.7,4.7,3.2,10.5,46.7,18104,7
4688,231047.493,454562.395,0.866,8.4,0.184,3.8,3.6,4.4,11.5,35.3,22930,7
5701,231175.102,454580.3,0.846,8.7,0.179,3.1,3.0,3.5,7.5,29.0,28670,7
3639,231013.101,454585.962,1.284,8.9,0.824,3.7,4.5,3.8,11.0,34.3,18472,7
5626,231191.321,454428.639,0.493,9.0,0.059,6.6,8.2,7.1,34.5,61.2,28249,7
