TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID,Cluster
5288,231087.985,455480.913,0.776,4.6,0.533,3.8,3.4,4.8,11.2,33.8,26654,2
5386,231091.471,455512.587,0.818,4.6,2.533,3.3,4.4,3.2,8.5,17.7,27532,2
1297,230714.983,454388.962,0.934,3.0,0.907,2.5,2.3,3.5,4.9,8.8,7088,3
1329,230685.931,454431.5,0.944,3.0,1.38,2.3,3.1,1.9,4.0,8.6,7062,3
1422,230688.976,454546.432,0.433,3.1,0.124,10.3,11.8,14.3,82.6,86.8,7556,3
1371,230718.274,454498.6,0.715,3.1,0.41,0.9,0.8,1.2,0.7,0.9,7307,3
1397,230685.284,454518.043,0.819,3.1,0.563,2.6,2.4,3.5,5.2,5.7,7338,3
1356,230708.755,454575.962,0.925,3.1,1.108,2.6,2.8,2.9,5.4,9.1,7552,3
1258,230651.403,454424.938,1.176,3.2,0.286,4.1,4.0,4.6,13.2,18.3,6916,3
1094,230659.363,454331.612,0.816,3.2,0.937,2.5,2.4,2.8,4.8,5.8,6395,3
1411,230705.092,454574.76,0.408,3.3,0.08,4.1,6.2,3.0,13.3,21.1,7570,3
1216,230686.705,454524.605,0.425,3.3,0.096,3.0,3.2,3.7,6.9,11.9,7192,3
1424,230728.784,454579.67,0.461,3.3,0.124,3.5,4.0,3.8,9.5,18.9,7684,3
1433,230707.993,454523.977,0.633,3.3,0.467,2.1,2.3,2.4,3.4,5.1,7508,3
1117,230670.149,454322.198,0.882,3.3,0.686,3.2,3.5,3.7,8.2,9.4,6372,3
1440,230693.759,454580.673,0.88,3.4,0.54,1.5,1.5,1.7,1.7,3.4,7551,3
1291,230684.578,454433.028,0.727,3.4,0.565,4.0,4.5,4.4,12.9,32.6,6975,3
1146,230661.982,454314.331,1.055,3.4,0.783,1.2,1.2,1.3,1.1,2.1,6752,3
1293,230682.495,454425.181,0.929,3.4,0.805,1.4,1.8,1.4,1.6,3.7,6982,3
1907,230792.197,454414.463,1.048,3.4,0.882,2.4,3.1,2.2,4.6,8.9,9645,3
1349,230662.565,454406.62,1.369,3.5,0.045,3.8,5.8,3.9,11.3,16.7,7138,3
1284,230673.829,454430.412,1.1,3.5,0.126,1.3,1.6,1.1,1.3,2.3,7184,3
1174,230652.024,454285.159,0.471,3.5,0.3,3.9,4.6,4.7,11.9,19.7,6711,3
1339,230685.381,454422.04,0.556,3.5,0.392,2.7,2.4,4.3,5.8,10.5,7064,3
1188,230660.402,454316.807,0.973,3.5,0.685,1.6,2.3,1.3,2.0,3.4,6720,3
1925,230800.976,454409.777,0.936,3.5,0.885,2.1,2.4,2.5,3.5,6.6,9425,3
1301,230685.217,454424.335,0.892,3.6,0.558,1.9,2.3,1.8,2.8,4.6,7025,3
2034,230769.042,454525.055,1.115,3.7,0.103,0.8,1.0,0.8,0.5,0.7,10058,3
1153,230668.364,454308.389,0.341,3.8,0.243,5.6,6.3,5.4,24.5,37.5,6650,3
1915,230784.14,454416.994,0.745,3.8,1.243,1.9,1.9,2.1,2.7,5.2,9410,3
2079,230773.137,454525.81,1.17,4.0,0.084,3.0,3.7,2.8,7.1,12.6,10053,3
1198,230658.719,454350.282,0.851,4.0,0.346,1.2,1.0,1.9,1.1,1.5,6748,3
1255,230683.148,454424.083,1.007,4.0,0.533,2.0,2.0,2.5,3.2,7.3,7187,3
1956,230784.864,454417.278,1.171,4.1,0.093,1.8,1.4,2.4,2.6,5.1,9657,3
2031,230768.662,454525.857,0.91,4.1,0.4,4.3,6.3,3.7,14.8,31.7,10020,3
1217,230661.01,454317.398,0.751,4.1,0.781,4.8,4.6,5.0,17.8,28.5,6690,3
1245,230673.561,454430.081,1.242,4.2,0.108,2.4,2.9,2.0,4.4,9.6,7183,3
1127,230699.819,454293.222,0.444,4.3,0.133,1.8,2.1,1.9,2.7,5.2,6384,3
1933,230800.427,454409.961,0.929,4.3,0.562,1.7,1.9,1.9,2.2,4.3,9635,3
1894,230808.117,454401.44,0.86,4.4,0.224,0.8,1.0,0.9,0.5,0.6,9546,3
2076,230769.113,454521.18,0.681,4.4,0.523,1.8,2.2,1.7,2.5,5.0,10041,3
1194,230699.951,454294.762,1.124,4.4,0.552,1.8,2.1,1.9,2.5,5.6,6718,3
1193,230708.782,454293.016,1.013,4.8,1.211,2.7,4.9,2.1,5.6,12.2,6745,3
1926,230782.804,454415.502,0.848,4.9,1.521,2.4,2.8,2.3,4.5,10.4,9412,3
1374,230686.101,454521.539,0.848,5.0,0.128,3.2,3.3,3.9,7.9,14.6,7518,3
1381,230687.92,454516.267,0.903,5.0,0.207,3.9,4.2,4.1,11.9,28.7,7399,3
1201,230699.731,454293.542,1.004,5.0,1.112,2.5,2.7,2.7,4.7,14.7,6670,3
1875,230744.181,454385.965,0.831,5.2,0.216,1.3,2.1,1.3,1.3,1.6,9261,3
1265,230686.018,454564.838,0.866,5.2,0.627,3.1,3.1,4.4,7.7,15.0,7188,3
1154,230660.002,454350.048,0.985,5.3,0.2,2.8,2.4,3.1,6.1,11.8,6633,3
1207,230659.061,454349.448,0.965,5.3,0.203,2.1,1.9,2.7,3.6,8.1,6596,3
1920,230809.596,454399.544,1.066,5.4,0.199,1.8,1.4,3.2,2.5,1.8,9636,3
1778,230746.133,454462.732,0.843,5.6,0.722,1.7,1.6,2.2,2.2,4.9,9208,3
1204,230661.681,454372.371,0.499,5.7,0.112,3.4,3.3,4.0,9.2,15.0,6737,3
1922,230784.917,454418.449,0.856,5.8,0.945,2.4,2.0,2.6,4.5,11.4,9665,3
1362,230721.596,454501.14,0.842,5.9,0.649,1.5,1.5,1.8,1.7,4.1,7329,3
1172,230661.667,454313.459,0.854,5.9,0.789,3.0,2.6,3.8,7.0,10.6,6637,3
1196,230735.554,454395.87,0.951,6.1,0.288,2.6,2.5,3.6,5.4,13.4,6992,3
1328,230686.713,454518.123,0.872,6.2,0.199,2.1,2.0,2.5,3.4,9.7,7276,3
1135,230665.863,454349.729,0.903,6.2,0.437,2.6,2.5,2.9,5.2,15.8,6685,3
1208,230663.368,454316.549,0.776,6.5,1.103,3.6,3.7,3.3,9.9,27.4,6756,3
1184,230665.969,454317.599,0.923,6.6,1.341,4.6,4.7,5.2,16.8,32.4,6716,3
1427,230688.954,454518.329,0.887,6.7,0.175,3.1,3.6,3.4,7.4,20.7,7413,3
1191,230664.926,454347.421,0.619,6.8,0.124,3.3,3.4,3.2,8.6,28.4,6667,3
1126,230650.707,454286.767,0.834,6.8,0.34,1.8,2.3,2.0,2.7,8.6,6675,3
1378,230691.871,454519.424,0.6,6.9,0.109,3.8,4.5,4.1,11.6,36.8,7487,3
1358,230708.215,454516.167,0.867,6.9,0.283,4.2,4.1,5.1,13.7,39.5,7323,3
1282,230736.424,454395.288,1.01,7.0,0.223,3.7,4.5,3.3,10.7,32.9,7046,3
2043,230787.918,454580.695,0.885,7.0,0.541,3.0,3.8,3.2,7.0,15.6,9844,3
1173,230650.738,454286.148,0.504,7.1,0.12,3.7,4.3,3.7,11.0,35.7,6671,3
1412,230685.26,454521.921,0.942,7.1,0.135,2.6,3.1,2.3,5.4,12.6,7510,3
1178,230673.633,454332.054,0.858,7.1,0.66,3.1,2.9,3.5,7.7,22.2,6665,3
1133,230665.017,454330.688,0.923,7.4,0.23,3.7,4.1,3.7,10.8,37.2,6486,3
1364,230690.085,454518.558,0.703,7.5,0.084,3.0,2.4,4.1,7.2,19.3,7412,3
1957,230781.189,454531.913,0.858,7.5,0.483,1.9,1.4,2.9,2.7,7.0,9751,3
1330,230685.942,454522.349,0.89,7.6,0.206,3.0,3.0,3.6,6.9,20.9,7225,3
1432,230708.042,454523.9,0.587,7.7,0.08,6.5,7.0,6.5,33.0,112.2,7559,3
1335,230687.301,454520.726,0.849,7.7,0.125,3.1,3.1,3.2,7.4,18.4,7410,3
1368,230684.963,454521.041,0.892,7.8,0.153,2.8,3.1,2.7,6.2,20.8,7425,3
1959,230801.284,454410.974,0.856,7.8,0.655,5.0,5.8,5.2,19.6,55.1,9631,3
1210,230666.879,454284.369,0.925,7.9,0.371,4.7,5.1,4.9,17.4,45.9,6707,3
2051,230773.357,454524.795,1.346,8.0,0.128,3.4,4.5,2.9,8.9,24.4,10062,3
1442,230691.115,454579.09,0.851,8.0,0.359,3.2,3.0,4.0,8.0,24.0,7563,3
1923,230783.8,454416.685,1.2,8.0,0.994,2.2,2.1,2.7,3.8,11.2,9622,3
1136,230661.351,454373.591,0.904,8.2,0.231,6.6,6.8,7.5,34.5,113.9,6733,3
